CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,D001_01,D002,D015,D014,D016,D017_01,PS17_01,PS17_02,PS17_03,PS16,PS15,PS14,PS13,PS12,PS11,PS11_05,PS11_01,PS11_02,PS11_03,PS11_04,PS10,PS09,PS08_01,PS07,PS06,PS05_01,PS04_01,PS03,PS02_01,PS18,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,F001_02,F001_04,F001_05,F001_06,F001_07,F001_08,F002,F002_01,F002_02,F002_03,F002_04,F002_05,F002_06,F002_07,F002_08,F002_09,F002_10,F002_11,F002_12,F002_13,F006,F006_01,F006_02,F006_03,F006_04,F006_05,F006_06,F006_07,F006_08,F006_09,F006_10,F006_11,F006_12,F006_13,F006_14,F008_01,F008_02,F008_03,F008_04,F008_05,F009_01,F009_02,F009_03,F009_04,F009_05,F009_06,F009_07,F009_08,F009_09,F010,F011,F013,F012,F014,F014_02,F015,F016,F017,F018,F004_01,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP04_01,PP04_02,PP04_03,PP04_04,PP06_01,PP06_02,PP06_03,PP06_04,PP05_01,PP05_02,PP05_03,PP05_04,PP05_05,LG01_01,LG01_02,LG01_03,LG01_04,LG01_05,LG01_06,LG01_07,LG01_08,LG01_09,LG01_10,VP01_01,VP01_02,VP01_03,VP01_04,VP01_05,VP01_06,VP01_07,VP01_08,VP01_09,VP01_10,VP01_11,VP01_12,VP01_13,VP01_14,VP02_01,VP02_02,VP02_03,VP02_04,VP02_05,VP02_06,VP02_07,VP02_08,VP02_09,VP02_10,VP02_11,VP02_12,VP03_01,VP03_02,VP03_03,VP03_04,VP03_05,VP03_06,VP03_07,VP03_08,VP03_09,VP03_10,VP03_11,VP03_12,VP03_13,VP03_14,VP03_15,VP03_16,VP04_01,VP04_02,VP04_03,VP04_04,VP04_05,VP04_06,VP04_07,FP01_01,FP01_02,FP01_03,FP01_04,FP01_05,FP01_06,FP01_07,FP01_08,FP01_09,FP01_10,FP01_11,FP01_12,FP01_13,FP02_01,FP02_02,FP02_03,FP02_04,FP02_05,FP02_06,FP02_07,FP02_08,FP02_09,FP02_10,FP02_11,FP02_12,FP02_13,FP02_14,FP02_15,FP02_16,FP02_17,FP02_18,FP02_19,FP02_20,FP03_01,FP03_02,FP03_03,FP03_04,FP03_05,FP03_06,FP03_07,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,CV19_01,CV19_02,CV19_03,CV19_04,CV19_05,CV19_06,CV22_01,CV22_02,CV22_03,CV22_04,CV22_05,CV22_06,CV22_07,CV22_08,CV22_09,CV22_10,CV22_11,CV22_12,CV25_01,CV26_01,CV27_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME019,TIME020,TIME021,TIME022,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
101,,,base,interview,2021-02-10 12:45:08,21,weiblich,mit meinem*meiner Parnter*in.,,nicht erwerbstätig.,,4.0,3.0,,,BE,EN,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,,NMS,4,Jänner 2021,3.0,2.0,2.0,2.0,trifft voll zu,2,,,,,2,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,trifft eher nicht zu,trifft eher nicht zu,trifft eher nicht zu,trifft eher zu,teils/teils,trifft zu,trifft nicht zu,trifft eher zu,trifft eher zu,trifft zu,trifft zu,trifft zu,trifft nicht zu,trifft zu,,,,,,,,,,,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,2.0,3.0,trifft gar nicht zu,3.0,trifft gar nicht zu,3.0,trifft gar nicht zu,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,trifft voll zu,trifft eher nicht zu,trifft eher zu,trifft zu,trifft nicht zu,trifft zu,trifft zu,trifft nicht zu,trifft eher zu,trifft eher zu,trifft nicht zu,trifft eher nicht zu,teils/teils,trifft nicht zu,trifft zu,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft nicht zu,,,AZC13G,4.0,22.0,38.0,,38.0,26.0,117.0,77.0,74.0,,,82.0,,,,,,,,51.0,37.0,566.0,,2021-02-10 12:54:34,ausgefüllt,Teilnehmer,22.0,22.0,11.0,6.0,,9.0
106,,,base,interview,2021-02-10 12:48:45,22,weiblich,mit anderen Personen zusammen.,,nicht erwerbstätig.,,äußerst wichtig,4.0,,,KR,DE,5,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,,25.0,NMS,4,Dezember 2020,trifft voll zu,3.0,3.0,trifft voll zu,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,17.0,39.0,,20.0,22.0,,,,,,,,,,,,,,,,103.0,,2021-02-10 12:50:28,abgebrochen,Teilnehmer,6.0,6.0,19.0,11.0,,25.0
107,,,base,interview,2021-02-10 12:48:58,20,weiblich,bei meinen Eltern.,,gelegentlich während des Semesters erwerbstätig.,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,46.0,,,,,,,,,,,,,,,,,,,,49.0,,2021-02-10 12:49:47,abgebrochen,Teilnehmer,2.0,2.0,0.0,0.0,,17.0
108,,,base,interview,2021-02-10 12:50:02,20,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,6.0,6.0,,,GS,GW,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,2.0,NMS,3,Februar 2021,trifft voll zu,3.0,trifft voll zu,trifft voll zu,3.0,2,2,0,0,0,5,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,4.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,trifft eher zu,trifft zu,trifft eher zu,trifft zu,teils/teils,trifft zu,teils/teils,trifft zu,trifft zu,trifft eher zu,trifft eher zu,teils/teils,trifft zu,teils/teils,,,,,,,,,,,,trifft voll zu,trifft voll zu,trifft voll zu,3.0,3.0,3.0,2.0,3.0,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,3.0,trifft gar nicht zu,3.0,trifft gar nicht zu,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nie,nie,nie,nie,nie,nie,trifft voll zu,trifft voll zu,4.0,5.0,3.0,4.0,teils/teils,trifft eher zu,teils/teils,trifft eher zu,trifft zu,trifft eher nicht zu,trifft nicht zu,trifft eher zu,trifft zu,trifft nicht zu,trifft zu,trifft zu,trifft eher nicht zu,trifft zu,teils/teils,trifft eher nicht zu,trifft nicht zu,trifft eher nicht zu,,,BPV28g,4.0,15.0,29.0,,20.0,212.0,60.0,57.0,93.0,,,141.0,,,,,,,,58.0,24.0,533.0,,2021-02-10 13:01:55,ausgefüllt,Teilnehmer,22.0,22.0,6.0,1.0,,23.0
109,,,base,interview,2021-02-10 12:50:29,21,weiblich,mit meinem*meiner Parnter*in.,,gelegentlich während des Semesters erwerbstätig.,2,äußerst wichtig,äußerst wichtig,,,GW,DE,5,ja,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,52.0,30.0,AHS,4,Jänner 2021,3.0,3.0,3.0,3.0,2.0,1,14,1,6,0,12,4.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,3.0,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,trifft zu,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft zu,trifft zu,trifft eher zu,trifft zu,trifft zu,trifft eher zu,trifft zu,teils/teils,trifft zu,flexibler einteilen,gleich gut vereinbaren,weniger gelernt,weniger intensiv auseinandergesetzt,"Unterschiedliches gelernt, nämlich:",Arbeitsaufträge zum virtuellen Lernen erstellt,weniger aktiv eingebracht,kleiner,weniger gut,keine Änderung,,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,2.0,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,33.0,35.0,,37.0,42.0,103.0,63.0,52.0,83.0,45.0,35.0,,,,,,,,,,531.0,,2021-02-10 12:59:20,abgebrochen,Teilnehmer,12.0,12.0,4.0,0.0,,9.0
110,,,base,interview,2021-02-10 12:50:46,21,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,5.0,4.0,,,GS,DE,5,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,50.0,17.0,"BMHS (z. B. HTL, HAK, ...)",2,Jänner 2021,3.0,trifft gar nicht zu,trifft gar nicht zu,3.0,3.0,,,,,,,2.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,7.0,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,trifft zu,trifft zu,trifft zu,trifft zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft eher nicht zu,trifft nicht zu,trifft nicht zu,trifft eher nicht zu,trifft zu,trifft zu,weniger flexibel einteilen,weniger gut vereinbaren,keine Änderung,weniger intensiv auseinandergesetzt,"Unterschiedliches gelernt, nämlich:",Umgang mit Technik,keine Änderung,größer,weniger gut,erleichtert,,2.0,3.0,3.0,trifft voll zu,trifft gar nicht zu,3.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft voll zu,2.0,3.0,3.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,2.0,3.0,trifft gar nicht zu,trifft gar nicht zu,5.0,3.0,nie,nie,2.0,5.0,4.0,5.0,2.0,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,5.0,3.0,2.0,nie,5.0,sehr häufig,4.0,nie,nie,nie,nie,5.0,4.0,2.0,sehr häufig,2.0,2.0,4.0,sehr häufig,sehr häufig,sehr häufig,4.0,4.0,2.0,sehr häufig,sehr häufig,4.0,2.0,nie,sehr häufig,sehr häufig,2.0,sehr häufig,sehr häufig,5.0,nie,sehr häufig,nie,,,,,,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,teils/teils,trifft nicht zu,trifft nicht zu,teils/teils,trifft eher nicht zu,trifft nicht zu,trifft zu,trifft zu,teils/teils,trifft zu,teils/teils,trifft eher nicht zu,trifft zu,trifft nicht zu,,,BEH10B,3.0,20.0,35.0,,44.0,28.0,72.0,72.0,40.0,107.0,41.0,39.0,87.0,,,,,97.0,28.0,63.0,47.0,823.0,,2021-02-10 13:04:29,ausgefüllt,Teilnehmer,22.0,22.0,11.0,8.0,,14.0
111,,,base,interview,2021-02-10 12:50:55,23,weiblich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,15,äußerst wichtig,5.0,,,GW,MA,3,nein,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,40.0,25.0,NMS,10,Dezember 2020,3.0,3.0,2.0,3.0,3.0,,,,,,,7.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,6.0,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,teils/teils,trifft eher zu,trifft zu,teils/teils,trifft eher zu,trifft zu,trifft zu,trifft eher zu,trifft eher zu,trifft zu,trifft zu,trifft eher zu,trifft eher zu,trifft eher zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,25.0,50.0,,33.0,22.0,25.0,30.0,29.0,6.0,6.0,2.0,,,,,,,,,,231.0,,2021-02-10 12:54:46,abgebrochen,Teilnehmer,12.0,12.0,49.0,44.0,,156.0
112,,,base,interview,2021-02-10 12:51:28,25,männlich,mit meinem*meiner Parnter*in.,,gelegentlich während des Semesters erwerbstätig.,10,äußerst wichtig,5.0,gar nicht wichtig,,PuP,MA,5,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ja,,,,,50.0,10.0,"BMHS (z. B. HTL, HAK, ...)",2,Jänner 2021,trifft voll zu,trifft voll zu,3.0,3.0,3.0,,,,,,,4.0,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,8.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,teils/teils,teils/teils,trifft eher zu,trifft eher nicht zu,trifft nicht zu,trifft eher nicht zu,trifft eher nicht zu,trifft eher nicht zu,trifft eher nicht zu,teils/teils,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft zu,weniger flexibel einteilen,gleich gut vereinbaren,weniger gelernt,keine Änderung,,,keine Änderung,größer,weniger gut,erschwert,,3.0,trifft voll zu,trifft voll zu,2.0,2.0,3.0,trifft voll zu,2.0,2.0,3.0,trifft voll zu,trifft voll zu,2.0,3.0,trifft gar nicht zu,3.0,3.0,trifft voll zu,trifft gar nicht zu,2.0,5.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,5.0,nie,4.0,nie,5.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,sehr häufig,3.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,,sehr häufig,sehr häufig,5.0,4.0,5.0,5.0,4.0,sehr häufig,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teils/teils,trifft eher nicht zu,trifft eher zu,trifft zu,trifft zu,teils/teils,trifft eher nicht zu,trifft nicht zu,trifft eher zu,trifft eher nicht zu,teils/teils,trifft zu,teils/teils,trifft eher zu,trifft eher zu,trifft eher zu,trifft zu,trifft eher nicht zu,,,MRC2B,3.0,58.0,105.0,,40.0,28.0,71.0,61.0,72.0,86.0,252.0,42.0,52.0,122.0,180.0,59.0,20.0,,,460.0,64.0,1085.0,,2021-02-10 13:21:03,ausgefüllt,Teilnehmer,22.0,22.0,14.0,11.0,,17.0
113,,,base,interview,2021-02-10 12:52:00,23,weiblich,mit meinem*meiner Parnter*in.,,gelegentlich während des Semesters erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,GS,EN,6,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,50.0,20.0,NMS,2,Februar 2021,3.0,3.0,2.0,2.0,2.0,1,20,5,5,1,10,4.0,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,5.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,trifft zu,trifft eher nicht zu,trifft nicht zu,trifft nicht zu,trifft eher nicht zu,trifft zu,trifft zu,trifft eher zu,teils/teils,trifft zu,trifft zu,trifft zu,trifft zu,teils/teils,keine Änderungen,,mehr gelernt,weniger intensiv auseinandergesetzt,,,aktiver eingebracht,größer,gleich,keine Änderung,,trifft voll zu,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,sehr häufig,2.0,4.0,2.0,nie,nie,nie,3.0,3.0,sehr häufig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,nie,nie,nie,nie,nie,3.0,nie,5.0,nie,4.0,5.0,nie,nie,sehr häufig,4.0,3.0,2.0,2.0,nie,nie,5.0,nie,4.0,5.0,2.0,2.0,5.0,5.0,5.0,3.0,sehr häufig,2.0,4.0,2.0,3.0,2.0,nie,2.0,trifft gar nicht zu,2.0,trifft voll zu,4.0,trifft gar nicht zu,trifft nicht zu,teils/teils,teils/teils,,trifft zu,trifft zu,trifft eher nicht zu,trifft eher nicht zu,teils/teils,teils/teils,trifft nicht zu,trifft zu,trifft eher nicht zu,trifft nicht zu,trifft zu,trifft eher zu,trifft eher nicht zu,trifft zu,"Praktikum und Studium in Distance Learning funktionieren/funktionierten für mich persönlich sehr gut. Ärgerlich war nur die ?Uneinsichtigkeit? des PPS Zentrum, bezüglich der im Praktikum geleisteten Stunden. Ich habe das Gefühl, dass nicht berücksichtigt wird, dass so ein Distance-Praktikum sehr viel mehr Arbeitsaufwand und Zeitaufwand bedeutet und auch nicht immer so ?easy? möglich ist. Teilweise finde ich die Anforderungen in den Begl.LVs und für das Praktikum generell nicht ?angepasst? genug an die Situation. z.B was bringt es mir fiktive Stunden/Ausflüge/Projekte zu planen, wenn es doch viel sinnvoller wäre Hilfsmittel für erfolgreiches Distance-Learning, Förderung von SuS etc zu lernen und ?mit der Situation? zu arbeiten. Ich habe dieses Semester sehr viel gelernt, das liegt aber meiner Meinung nach, hauptsächlich an meiner Praxipädagogin die mir sehr viele Lernmöglichkeiten und die Möglichkeit ?auszuprobieren? gab. In der Bgl.LV hab ich mich eher hängen gelassen gefühlt.",,MEJ2b,4.0,19.0,30.0,,23.0,20.0,56.0,60.0,48.0,51.0,33.0,26.0,109.0,,,,,133.0,54.0,535.0,63.0,812.0,,2021-02-10 13:13:04,ausgefüllt,Teilnehmer,22.0,22.0,4.0,2.0,,19.0
114,,,base,interview,2021-02-10 12:52:18,23,weiblich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,8,äußerst wichtig,äußerst wichtig,,,GW,EN,5,ja,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,50.0,50.0,AHS,2,Oktober 2020,trifft voll zu,3.0,3.0,3.0,trifft voll zu,2,20,1,4,2,8,9.0,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,8.0,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,trifft eher zu,teils/teils,trifft zu,trifft eher zu,teils/teils,trifft zu,trifft eher nicht zu,trifft zu,teils/teils,trifft zu,trifft zu,trifft zu,trifft zu,teils/teils,keine Änderungen,gleich gut vereinbaren,mehr gelernt,keine Änderung,Ähnliches gelernt,,aktiver eingebracht,größer,,keine Änderung,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,4.0,sehr häufig,2.0,4.0,5.0,sehr häufig,5.0,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,4.0,sehr häufig,4.0,5.0,sehr häufig,4.0,sehr häufig,2.0,nie,nie,nie,5.0,sehr häufig,4.0,sehr häufig,sehr häufig,3.0,4.0,sehr häufig,5.0,nie,5.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,sehr häufig,sehr häufig,5.0,5.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,2.0,3.0,trifft gar nicht zu,3.0,4.0,trifft gar nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft eher nicht zu,trifft zu,teils/teils,trifft nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,trifft zu,trifft zu,trifft zu,teils/teils,trifft eher zu,trifft zu,trifft zu,trifft eher zu,,,Pkl19b,45.0,35.0,428.0,,30.0,30.0,131.0,94.0,38.0,76.0,38.0,29.0,87.0,,,,,101.0,59.0,61.0,58.0,913.0,,2021-02-10 13:14:38,ausgefüllt,Teilnehmer,22.0,22.0,4.0,1.0,1.0,8.0
116,,,base,interview,2021-02-10 12:53:56,22,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,EH,EN,5,nein,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,50.0,45.0,NMS,2,Jänner 2021,3.0,2.0,2.0,2.0,3.0,2,20,5,5,3,20,7.0,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,4.0,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,teils/teils,trifft eher zu,trifft eher zu,teils/teils,trifft nicht zu,trifft zu,trifft eher zu,trifft eher zu,teils/teils,trifft zu,trifft zu,trifft zu,trifft eher zu,teils/teils,weniger flexibel einteilen,gleich gut vereinbaren,keine Änderung,keine Änderung,Ähnliches gelernt,,keine Änderung,,gleich,keine Änderung,,3.0,trifft voll zu,trifft voll zu,trifft voll zu,2.0,3.0,3.0,trifft voll zu,trifft voll zu,2.0,trifft voll zu,2.0,3.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,3.0,3.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,sehr häufig,5.0,5.0,5.0,5.0,sehr häufig,5.0,5.0,4.0,,,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,nie,3.0,3.0,4.0,5.0,4.0,trifft gar nicht zu,4.0,3.0,4.0,trifft nicht zu,trifft eher nicht zu,teils/teils,trifft eher zu,trifft eher zu,trifft eher zu,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft nicht zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher zu,teils/teils,trifft eher zu,trifft eher nicht zu,trifft nicht zu,,dieser Fragebogen erscheint mir zu lang,SHS9B,16.0,27.0,56.0,,73.0,46.0,273.0,99.0,1043.0,267.0,79.0,40.0,4353.0,,,,,241.0,178.0,95.0,91.0,1430.0,,2021-02-10 14:50:13,ausgefüllt,Teilnehmer,22.0,22.0,5.0,2.0,,1.0
